accept,refuse
active,passive
agree,deny
awesome,awful
beautiful,ugly
best,worst
boy,girl
bright,dark
brother,sister
buy,sell
can,cannot
carry,put
clean,dirty
clear,cloudy
cold,hot
collect,throw
concave,convex
countryside,city
courage,scared
credit,debit
cute,not cute
dawn,dusk
dry,soak
early,late
earth,sky
east,west
easy,difficult
even,odd
export,import
fantasy,reality
far,near
fast,slow
fat,thin
fierce,tame
first,last
float,sink
flood,drought
former,upcoming 
fresh,wilt
friend,enemy
front,back
froze,melt
full,empty
funny,not funny
gather,disperse
girl,boy
give,take
good,bad
handsome,not handsome
happy,sad
hard,soft
head,tail
hello,bye
hi,bye
i,you
injured,recovered
international,domestic
invent,destroy
join,break
king,queen
laugh,cry
leave,stay
left,right
like,hate
love,hate
man,lady
more,less
multiply,divide
new,old
nice,bad
no,yes
noisy,silent
north,south
not,
now,later
objective,subjective
ok,shut up
peace,war
plus,minus
prince,princess
proud,shame
rarely,often
receive,send
remember,forget
rest,work
rich,poor
round,flat
sad,happy
safe,dangerous
same,different
shallow,deep
sit,stand
small,big
smooth,rough
solo,duet
sorry,haha
speak,listen
success,fail
sun,moon
sure,not sure
sweet,sour
teach,learn
teacher,student
this,that
throw,catch
tight,loose
tomorrow,yesterday
up,down
usual,unusual
walk,run
waste,safe
welcome,lol
wet,dry
white,black 
win,lose
woman,man
yes,no
young,old